ID	sex	age	dayofyear
0	B	D	C
M035687	Male	2	43
M035728	Female	2	43
M035731	Female	2	43
M036089	Female	2	42
M036296	Female	2	64
M036347	Male	2	85
M036407	Female	2	85
M036452	Female	2	113
M036453	Female	2	113
M036455	Female	2	113
M046454	Male	2	6
M046533	Male	2	42
M046962	Male	2	98
M047892	Male	2	83
M047948	Female	2	104
M047957	Female	2	76
M048107	Female	2	69
M048141	Male	2	69
M048162	Male	4	6
M048185	Male	4	6
M048207	Male	2	13
M048232	Female	4	13
M048291	Male	2	27
M048397	Female	2	91
M048487	Female	2	41
M048612	Male	2	55
M048736	Female	4	62
M048745	Female	4	62
M048810	Male	2	69
M048820	Female	2	69
M048913	Female	2	76
M048919	Female	4	76
M048960	Female	2	97
M048999	Male	4	104
M049028	Female	2	111
M049036	Female	2	111
M049120	Male	2	13
M055506	Male	2	103
M055700	Male	2	110
M055762	Male	2	75
M055824	Female	2	40
M055984	Female	2	54
M055999	Female	4	96
M056048	Male	2	54
M056321	Male	2	110
M056327	Male	2	110
M056497	Male	4	33
M056593	Female	4	26
M056829	Female	4	68
M063957	Male	4	3
M063958	Male	3	3
M063963	Female	3	3
M063991	Male	3	3
M064000	Female	3	10
M064020	Female	3	10
M064062	Male	2	17
M064069	Male	3	17
M064106	Male	2	24
M064185	Male	2	31
M064230	Male	2	38
M064237	Male	3	38
M064323	Male	3	45
M064337	Male	4	45
M064444	Female	4	58
M064559	Male	3	66
M064647	Male	2	74
M064846	Male	2	94
M064848	Female	4	94
M064863	Male	4	-21
M065447	Male	4	8
M065603	Male	4	31
M065791	Male	4	59
M065904	Male	4	73
M071831	Male	4	44
M071863	Male	4	58
M071888	Male	4	58
M071911	Male	4	58
M072898	Male	2	2
M072899	Male	2	2
M072913	Male	4	65
M073202	Male	2	107
M073208	Male	2	107
M073266	Female	2	44
M074610	Female	2	56
M075203	Male	2	100
M081233	Female	3	8
M081234	Male	3	8
M081236	Male	2	8
M081245	Female	3	8
M081317	Female	3	22
M081330	Male	2	22
M081331	Male	3	22
M081358	Male	4	29
M081360	Male	3	29
M081373	Female	3	29
M081393	Female	2	36
M081397	Female	3	36
M081405	Female	2	36
M081406	Male	2	36
M081449	Female	3	43
M081458	Male	4	43
M081493	Female	2	43
M081529	Female	2	50
M081569	Female	4	50
M081581	Female	3	50
M081617	Female	2	57
M081649	Female	2	57
M081657	Female	4	57
M081709	Female	2	64
M081733	Female	4	64
M081767	Male	4	71
M081776	Male	3	71
M081797	Female	2	71
M081870	Male	2	78
M081919	Male	3	78
M081962	Male	3	85
M081997	Female	2	85
M082002	Male	2	85
M082005	Female	3	92
M082043	Male	3	92
M082101	Female	2	106
M082109	Female	2	106
M082124	Male	3	106
M082137	Female	2	113
M082166	Male	4	8
M082167	Male	3	8
M082169	Female	4	8
M082204	Female	3	15
M082205	Male	2	15
M082231	Male	4	15
M082265	Male	4	22
M082282	Male	3	22
M082292	Female	3	29
M082328	Male	4	36
M082352	Male	3	43
M082420	Male	3	50
M082439	Female	3	50
M082462	Male	4	57
M082480	Male	3	57
M082482	Male	4	57
M082500	Male	4	57
M082518	Male	3	64
M082519	Female	3	64
M082523	Female	4	64
M082609	Male	4	78
M082639	Female	4	78
M082691	Female	3	85
M082719	Female	3	92
M082767	Female	3	106
M092227	Female	4	21
M092441	Male	2	49
M092466	Female	4	49
M092504	Female	3	56
M092664	Female	3	84
M092686	Male	2	90
M092741	Male	3	63
M092768	Female	3	98
M092797	Male	3	7
M092966	Male	3	28
M093025	Male	3	35
M093036	Female	3	35
M093111	Male	3	42
M093460	Female	3	77
M093555	Male	3	84
M093586	Male	4	84
M093593	Female	3	84
M093664	Male	2	98
M093675	Female	4	98
M100327	Female	4	5
M100331	Female	3	5
M100338	Male	4	5
M100345	Male	4	5
M100354	Male	4	5
M100389	Male	4	19
M100404	Female	4	19
M100433	Male	4	12
M100434	Male	4	12
M100438	Male	3	12
M100456	Female	4	12
M100458	Male	4	5
M100486	Male	4	26
M100487	Female	3	33
M100522	Male	4	33
M100523	Female	4	33
M100551	Female	4	33
M100560	Male	3	33
M100564	Male	4	33
M100570	Male	2	33
M100627	Female	4	40
M100635	Female	3	40
M100651	Female	4	40
M100715	Female	2	54
M100723	Female	2	54
M100735	Female	2	25
M100739	Female	4	54
M100763	Female	4	47
M100767	Female	2	47
M100775	Female	2	47
M100811	Female	2	47
M100857	Male	2	61
M100943	Female	4	68
M101053	Male	3	75
M101078	Female	2	82
M101082	Female	2	82
M101202	Female	2	96
M101234	Female	2	103
M101314	Female	2	12
M101317	Male	3	12
M101361	Male	3	19
M101366	Female	4	19
M101374	Female	3	19
M101390	Female	4	20
