ID	sex	age	dayofyear
0	B	D	C
M035728	Female	2	43
M035731	Female	2	43
M036089	Female	2	42
M036296	Female	2	64
M036407	Female	2	85
M036452	Female	2	113
M036453	Female	2	113
M036455	Female	2	113
M047948	Female	2	104
M047957	Female	2	76
M048107	Female	2	69
M048232	Female	4	13
M048397	Female	2	91
M048487	Female	2	41
M048736	Female	4	62
M048745	Female	4	62
M048820	Female	2	69
M048913	Female	2	76
M048919	Female	4	76
M048960	Female	2	97
M049028	Female	2	111
M049036	Female	2	111
M055824	Female	2	40
M055984	Female	2	54
M055999	Female	4	96
M056593	Female	4	26
M056829	Female	4	68
M063963	Female	3	3
M064000	Female	3	10
M064020	Female	3	10
M064444	Female	4	58
M064848	Female	4	94
M073266	Female	2	44
M074610	Female	2	56
M081233	Female	3	8
M081245	Female	3	8
M081317	Female	3	22
M081373	Female	3	29
M081393	Female	2	36
M081397	Female	3	36
M081405	Female	2	36
M081449	Female	3	43
M081493	Female	2	43
M081529	Female	2	50
M081569	Female	4	50
M081581	Female	3	50
M081617	Female	2	57
M081649	Female	2	57
M081657	Female	4	57
M081709	Female	2	64
M081733	Female	4	64
M081797	Female	2	71
M081997	Female	2	85
M082005	Female	3	92
M082101	Female	2	106
M082109	Female	2	106
M082137	Female	2	113
M082169	Female	4	8
M082204	Female	3	15
M082292	Female	3	29
M082439	Female	3	50
M082519	Female	3	64
M082523	Female	4	64
M082639	Female	4	78
M082691	Female	3	85
M082719	Female	3	92
M082767	Female	3	106
M092227	Female	4	21
M092466	Female	4	49
M092504	Female	3	56
M092664	Female	3	84
M092768	Female	3	98
M093036	Female	3	35
M093460	Female	3	77
M093593	Female	3	84
M093675	Female	4	98
M100327	Female	4	5
M100331	Female	3	5
M100404	Female	4	19
M100456	Female	4	12
M100487	Female	3	33
M100523	Female	4	33
M100551	Female	4	33
M100627	Female	4	40
M100635	Female	3	40
M100651	Female	4	40
M100715	Female	2	54
M100723	Female	2	54
M100735	Female	2	25
M100739	Female	4	54
M100763	Female	4	47
M100767	Female	2	47
M100775	Female	2	47
M100811	Female	2	47
M100943	Female	4	68
M101078	Female	2	82
M101082	Female	2	82
M101202	Female	2	96
M101234	Female	2	103
M101314	Female	2	12
M101366	Female	4	19
M101374	Female	3	19
M101390	Female	4	20
M101410	Female	4	26
M101448	Female	3	33
M101612	Female	2	54
M101624	Female	3	61
M101708	Female	3	68
M101748	Female	3	75
M101808	Female	4	82
M101816	Female	3	89
M101860	Female	3	96
M101864	Female	4	96
M101884	Female	3	103
M101896	Female	3	103
M101916	Female	3	103
M101928	Female	3	110
M108148	Female	4	4
M108796	Female	2	74
M108808	Female	4	74
M109080	Female	4	102
M109357	Female	4	39
M109609	Female	4	81
M109705	Female	4	95
M109745	Female	3	102
M119517	Female	4	3
M119711	Female	3	45
M119739	Female	3	45
M119808	Female	3	59
M119843	Female	3	66
M119986	Female	3	101
M120426	Female	3	73
M120592	Female	2	94
M123028	Female	4	2
M123076	Female	3	23
M123213	Female	4	37
M123427	Female	4	65
M123492	Female	3	72
M123546	Female	4	79
M123674	Female	3	9
M123805	Female	4	65
M123848	Female	4	72
M123879	Female	4	79
M123981	Female	4	100
