ID	sex	age	dayofyear
0	B	D	C
M035687	Male	2	43
M036347	Male	2	85
M046454	Male	2	6
M046533	Male	2	42
M046962	Male	2	98
M047892	Male	2	83
M048141	Male	2	69
M048162	Male	4	6
M048185	Male	4	6
M048207	Male	2	13
M048291	Male	2	27
M048612	Male	2	55
M048810	Male	2	69
M048999	Male	4	104
M049120	Male	2	13
M055506	Male	2	103
M055700	Male	2	110
M055762	Male	2	75
M056048	Male	2	54
M056321	Male	2	110
M056327	Male	2	110
M056497	Male	4	33
M063957	Male	4	3
M063958	Male	3	3
M063991	Male	3	3
M064062	Male	2	17
M064069	Male	3	17
M064106	Male	2	24
M064185	Male	2	31
M064230	Male	2	38
M064237	Male	3	38
M064323	Male	3	45
M064337	Male	4	45
M064559	Male	3	66
M064647	Male	2	74
M064846	Male	2	94
M064863	Male	4	-21
M065447	Male	4	8
M065603	Male	4	31
M065791	Male	4	59
M065904	Male	4	73
M071831	Male	4	44
M071863	Male	4	58
M071888	Male	4	58
M071911	Male	4	58
M072898	Male	2	2
M072899	Male	2	2
M072913	Male	4	65
M073202	Male	2	107
M073208	Male	2	107
M075203	Male	2	100
M081234	Male	3	8
M081236	Male	2	8
M081330	Male	2	22
M081331	Male	3	22
M081358	Male	4	29
M081360	Male	3	29
M081406	Male	2	36
M081458	Male	4	43
M081767	Male	4	71
M081776	Male	3	71
M081870	Male	2	78
M081919	Male	3	78
M081962	Male	3	85
M082002	Male	2	85
M082043	Male	3	92
M082124	Male	3	106
M082166	Male	4	8
M082167	Male	3	8
M082205	Male	2	15
M082231	Male	4	15
M082265	Male	4	22
M082282	Male	3	22
M082328	Male	4	36
M082352	Male	3	43
M082420	Male	3	50
M082462	Male	4	57
M082480	Male	3	57
M082482	Male	4	57
M082500	Male	4	57
M082518	Male	3	64
M082609	Male	4	78
M092441	Male	2	49
M092686	Male	2	90
M092741	Male	3	63
M092797	Male	3	7
M092966	Male	3	28
M093025	Male	3	35
M093111	Male	3	42
M093555	Male	3	84
M093586	Male	4	84
M093664	Male	2	98
M100338	Male	4	5
M100345	Male	4	5
M100354	Male	4	5
M100389	Male	4	19
M100433	Male	4	12
M100434	Male	4	12
M100438	Male	3	12
M100458	Male	4	5
M100486	Male	4	26
M100522	Male	4	33
M100560	Male	3	33
M100564	Male	4	33
M100570	Male	2	33
M100857	Male	2	61
M101053	Male	3	75
M101317	Male	3	12
M101361	Male	3	19
M101465	Male	4	33
M101538	Male	4	47
M101666	Male	2	25
M101670	Male	3	68
M101771	Male	3	82
M101818	Male	3	89
M101849	Male	3	96
M101865	Male	3	96
M101909	Male	3	103
M101942	Male	3	110
M101950	Male	3	110
M108146	Male	2	4
M108318	Male	4	32
M108427	Male	4	39
M108525	Male	2	46
M108586	Male	2	53
M108654	Male	2	60
M108886	Male	2	81
M109391	Male	3	46
M109568	Male	2	74
M119593	Male	4	17
M119865	Male	3	73
M119900	Male	3	80
M120111	Male	3	31
M120564	Male	3	87
M123026	Male	3	58
M123104	Male	4	23
M123299	Male	4	51
M123324	Male	3	51
M123455	Male	4	72
M123524	Male	4	79
M123530	Male	4	79
M123798	Male	2	58
M123971	Male	3	100
M123991	Male	3	107
